# t,x,y,vx,vy,distance_moon
4.176258150714761541e+03,3.318204658355725184e+07,1.248691245256831506e+00,4.823626362807974147e+03,9.253923582508483993e-04,3.512201976153149009e+08
4.679913150240274263e+03,3.556768681244165450e+07,1.777218959877641780e+00,4.653618858485095188e+03,1.179034679966259975e-03,3.488353545812203288e+08
5.237629058024161168e+03,3.811632999021910876e+07,2.522348708366690673e+00,4.489736466346661473e+03,1.500225135253483973e-03,3.462877824919244051e+08
5.856502030720345829e+03,4.084477673075185716e+07,3.574155455608203802e+00,4.331382183264438936e+03,1.908060174518679073e-03,3.435607767935080528e+08
6.544983075427608128e+03,4.377282748009501398e+07,5.062678254613713236e+00,4.177986180202065043e+03,2.427846096452104981e-03,3.406346695658686161e+08
7.312968642460018600e+03,4.692294388323588669e+07,7.176848228139944830e+00,4.029046418202807672e+03,3.093278112876977817e-03,3.374871828819868565e+08
8.171810683537769364e+03,5.031959274317672849e+07,1.019244102984034228e+01,3.884162801541099270e+03,3.949328219099776729e-03,3.340941052829697132e+08
9.134074179129385811e+03,5.398771016636632383e+07,1.451231417166187043e+01,3.743082113315844254e+03,5.055845546463867864e-03,3.304308547932083607e+08
1.021266349381129839e+04,5.794916137695002556e+07,2.072061077928274386e+01,3.605774996464164360e+03,6.491366176421329084e-03,3.264760514711993933e+08
1.141879290970345028e+04,6.221594460968096554e+07,2.964598187531596096e+01,3.472547508972305423e+03,8.355566714071532841e-03,3.222183430100194216e+08
1.275888606955302748e+04,6.678139019783421606e+07,4.241833980522130787e+01,3.344109577464331323e+03,1.076812037309764561e-02,3.176652171766906381e+08
1.423256165556503947e+04,7.161701240988281369e+07,6.050975907333031500e+01,3.221419476616295469e+03,1.386477438928631831e-02,3.128461405238965750e+08
1.583451133698040212e+04,7.668241979909281433e+07,8.578863993446479697e+01,3.105280993380064956e+03,1.779729641883045013e-02,3.078026499047987461e+08
1.755856102799459040e+04,8.193983416245663166e+07,1.206233115213801028e+02,2.996048389689553005e+03,2.274059691695391391e-02,3.025738725661882162e+08
1.940000211988092997e+04,8.736058659029726684e+07,1.680263381362376549e+02,2.893651544290523816e+03,2.890200230628909087e-02,2.971900864301608801e+08
2.135591827235712117e+04,9.292461606079779565e+07,2.318262892284643328e+02,2.797760252724583552e+03,3.652973748944016857e-02,2.916732778315881491e+08
2.342479019595991122e+04,9.861805006407232583e+07,3.168719010386830064e+02,2.707925214164760746e+03,4.592138904999278071e-02,2.860396184192051291e+08
2.560601904302087860e+04,1.044310008022341579e+08,4.292780498226609325e+02,2.623664449943286400e+03,5.743330661787009184e-02,2.803017312115051150e+08
2.789955927321932541e+04,1.103560326925300509e+08,5.767247524176666502e+02,2.544507975432777130e+03,7.149164716547401488e-02,2.744702930831601024e+08
3.030568681245761400e+04,1.163872323620786667e+08,7.688230964222705097e+02,2.470017369056991811e+03,8.860568822928183152e-02,2.685550454329917431e+08
3.282488198951799131e+04,1.225197131790248454e+08,1.017566063282785763e+03,2.399791916208333532e+03,1.093840935625263466e-01,2.625653844021765590e+08
3.545780265804044757e+04,1.287494130086198449e+08,1.337888325823109653e+03,2.333468155480974474e+03,1.345549903327599162e-01,2.565106764495195150e+08
3.820533082063770416e+04,1.350730920516222417e+08,1.748368335681292137e+03,2.270716463895754259e+03,1.649910203364852446e-01,2.504003987644186914e+08
4.106868607360975147e+04,1.414884792190665007e+08,2.272120135041453977e+03,2.211236482144050115e+03,2.017410041319908087e-01,2.442441653301571012e+08
4.404960923841554177e+04,1.479945476085954905e+08,2.937944365959367133e+03,2.154752184336483879e+03,2.460706004622422172e-01,2.380516719607155621e+08
4.715063059876894840e+04,1.545919265648331642e+08,3.781843278066323364e+03,2.101006859914079087e+03,2.995155288259660487e-01,2.318325741393558085e+08
5.037545174494344974e+04,1.612834858611208797e+08,4.849062985716537696e+03,2.049757964045133122e+03,3.639528753927757099e-01,2.255962957044770122e+08
5.372949283949807432e+04,1.680751656586395204e+08,6.196926690543068617e+03,2.000771559320374990e+03,4.416993502231549851e-01,2.193517494004058838e+08
5.722069721093890257e+04,1.749771889893850982e+08,7.898903341358945909e+03,1.953815801439480310e+03,5.356513856887706870e-01,2.131069252155898809e+08
6.086076200517815596e+04,1.820059120500102639e+08,1.005070000570737102e+04,1.908652470694956037e+03,6.494934386238128132e-01,2.068682563702228069e+08
6.466712226022793038e+04,1.891868110000490248e+08,1.277986587575719022e+04,1.865024646409783600e+03,7.880242683767367806e-01,2.006395774710729420e+08
6.866636989193178306e+04,1.965596461625118554e+08,1.626194185072573055e+04,1.822636613042621548e+03,9.577028215031589964e-01,1.944202754109244943e+08
7.290064635149369133e+04,2.041881523345956504e+08,2.074995946143419860e+04,1.781117281960049695e+03,1.167641794161417446e+00,1.882017263021138310e+08
